"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C01_008E","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","S1901_C04_006E"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Households!!Estimate!!$75,000 to $99,999","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!$35,000 to $49,999"
"0500000US22073","Ouachita Parish, Louisiana","58133","1702","11.1","2.3","10.8","1.8","12.9","2.3","13.5","2.3","12.6","2.2","14.6","2.2","2.2","8.3","1.5","2.7","0.9","2.6","0.9","36338","2596","54785","3346","28.8","(X)","(X)","(X)","(X)","(X)","37910","2489","7.1","2.3","8.3","2.2","10.3","2.2","12.4","2.4","11.6","2.6","16.8","2.6","14.7","3.0","11.2","2.3","4.1","1.4","3.6","1.3","50434","6851","66018","4389","(X)","(X)","27.9","(X)","(X)","(X)","24503","1889","2.9","2.3","2.7","1.7","5.2","1.8","10.1","3.0","11.7","2.6","18.8","3.3","20.6","4.3","16.4","3.4","6.4","2.1","5.3","2.0","72180","6598","11.0","N","N","(X)","(X)","(X)","(X)","(X)","(X)","20223","1989","19.3","4.7","15.6","3.6","18.3","4.8","16.3","3.9","3.7","9.7","3.4","3.7","2.4","2.7","1.3","0.1","0.1","0.7","1.1","23227","3138","32378","5098","(X)","(X)","(X)","(X)","29.4","(X)","13.7"
"0500000US22079","Rapides Parish, Louisiana","49299","1669","10.6","2.2","6.9","1.6","13.9","2.5","11.2","2.1","15.8","2.7","17.9","2.5","2.2","9.2","2.2","1.9","0.7","1.9","0.9","41321","1467","53839","3587","27.8","(X)","(X)","(X)","(X)","(X)","33286","1933","8.2","2.8","4.1","1.8","11.6","2.7","11.3","2.5","16.3","2.9","19.0","3.3","12.7","2.9","11.8","2.9","2.6","1.0","2.3","1.2","48542","4251","61925","4864","(X)","(X)","30.1","(X)","(X)","(X)","22237","1904","3.5","2.2","1.0","1.0","6.9","2.2","8.4","3.0","15.6","3.8","22.6","4.5","17.8","3.9","16.8","4.2","3.8","1.5","3.5","1.7","65520","8033","10.8","77889","6727","(X)","(X)","(X)","(X)","(X)","(X)","16013","1534","19.3","4.5","13.6","3.8","19.7","4.9","9.9","3.1","4.6","12.4","4.7","5.4","2.7","2.7","1.7","0.2","0.4","1.0","1.2","22095","3581","33556","3791","(X)","(X)","(X)","(X)","22.9","(X)","15.8"
"0500000US22097","St. Landry Parish, Louisiana","30937","1042","13.3","2.6","10.3","2.2","17.0","2.7","8.6","2.0","12.2","2.8","16.3","2.9","3.0","7.9","2.3","2.9","1.4","1.4","0.8","35765","4679","50321","3552","45.2","(X)","(X)","(X)","(X)","(X)","21943","1419","9.4","2.8","5.6","1.9","17.0","3.3","7.9","2.2","12.0","3.0","18.1","3.5","13.3","4.2","10.8","3.1","4.0","1.9","1.9","1.2","46326","6512","59955","4793","(X)","(X)","48.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","66576","4146","10.0","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8994","1217","26.4","5.9","22.2","6.6","18.0","6.4","9.8","4.1","5.0","7.7","4.1","2.0","1.8","1.1","1.2","0.4","0.7","0.1","0.2","15975","4284","24355","2671","(X)","(X)","(X)","(X)","32.4","(X)","12.2"
"0500000US22103","St. Tammany Parish, Louisiana","89333","1323","5.7","1.5","5.6","1.4","10.1","1.6","11.8","2.1","11.8","1.8","17.6","2.3","2.0","14.6","2.2","4.7","1.1","5.5","1.0","56650","4867","76425","4015","32.8","(X)","(X)","(X)","(X)","(X)","65316","2313","2.8","1.4","3.6","1.4","8.9","1.6","10.0","2.2","12.1","1.9","17.7","2.9","15.0","2.4","17.1","2.7","6.1","1.4","6.7","1.3","68392","4551","86699","5016","(X)","(X)","32.5","(X)","(X)","(X)","48346","2360","0.7","0.7","2.0","0.9","5.5","1.6","9.4","2.5","10.5","2.1","18.5","3.1","16.6","2.7","20.2","2.9","7.9","1.9","8.7","1.7","80814","6370","12.6","N","N","(X)","(X)","(X)","(X)","(X)","(X)","24017","2091","14.1","4.0","12.2","3.5","14.3","3.6","16.8","4.3","2.9","17.8","4.5","5.0","2.3","6.1","2.9","0.4","0.6","2.1","2.1","30323","2651","44773","6499","(X)","(X)","(X)","(X)","31.3","(X)","11.3"
"0500000US22105","Tangipahoa Parish, Louisiana","43653","1545","13.5","3.0","8.9","2.9","17.8","3.1","9.8","2.2","13.2","2.9","13.3","2.9","2.3","8.8","2.8","2.4","1.0","1.1","0.8","34904","4413","51098","4256","33.1","(X)","(X)","(X)","(X)","(X)","27469","1940","7.4","2.9","6.4","2.7","14.7","3.9","9.1","2.6","15.1","3.5","17.7","4.2","13.7","3.1","11.3","3.9","3.1","1.5","1.4","1.1","46537","4866","61491","5987","(X)","(X)","33.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","63873","5429","11.0","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16184","1786","25.5","6.9","13.4","6.0","23.2","6.6","11.0","3.8","3.8","6.5","3.3","5.4","3.4","4.7","3.6","1.2","1.1","0.6","1.0","19497","2667","32278","4899","(X)","(X)","(X)","(X)","31.6","(X)","8.5"
"0500000US22109","Terrebonne Parish, Louisiana","39043","1274","9.0","2.5","6.5","1.9","13.8","3.0","8.6","2.4","13.3","3.2","16.3","3.4","2.9","12.8","2.5","3.6","1.5","3.7","1.3","48911","4543","65866","4859","34.5","(X)","(X)","(X)","(X)","(X)","27860","1760","3.2","1.7","5.4","2.0","10.9","3.1","7.7","2.8","15.3","3.5","18.5","3.6","13.6","3.6","15.5","3.1","5.2","2.1","4.7","1.8","58450","7392","77485","6353","(X)","(X)","36.1","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","75236","6996","12.4","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11183","1564","23.5","6.6","10.9","4.3","21.7","6.6","11.2","4.5","4.8","10.4","5.3","6.9","4.6","4.5","3.1","0.0","1.4","0.8","1.0","20026","4406","33374","5100","(X)","(X)","(X)","(X)","29.6","(X)","10.0"
"0500000US23001","Androscoggin County, Maine","44641","1029","7.5","1.7","8.0","1.9","13.9","2.4","10.9","2.2","12.6","2.0","20.0","2.9","2.1","11.0","2.1","2.1","0.8","2.3","1.3","44297","6105","60903","7076","21.7","(X)","(X)","(X)","(X)","(X)","27924","1700","4.8","2.2","5.3","2.3","8.8","2.9","6.4","1.7","11.8","2.5","25.8","3.8","15.9","2.7","15.0","3.1","3.2","1.4","2.8","1.8","60338","4377","75043","10107","(X)","(X)","17.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","71361","4160","11.8","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16717","1674","14.9","3.7","14.2","3.3","22.1","4.6","17.2","4.4","3.8","11.1","4.3","4.3","2.9","2.2","1.4","0.2","0.4","0.1","0.2","23428","5268","31264","2908","(X)","(X)","(X)","(X)","24.6","(X)","13.7"
"0500000US23003","Aroostook County, Maine","30811","822","10.0","1.7","7.7","1.7","14.8","2.3","13.9","2.1","14.7","2.4","20.3","2.4","2.0","5.8","1.3","1.0","0.6","0.7","0.5","38453","2528","48183","2572","28.0","(X)","(X)","(X)","(X)","(X)","20883","1090","6.9","2.0","2.8","1.1","12.1","2.0","11.9","2.2","16.0","3.1","25.6","3.2","14.8","3.0","7.8","1.8","1.3","0.8","1.0","0.7","50280","2819","57610","3836","(X)","(X)","27.1","(X)","(X)","(X)","16270","983","1.5","0.8","1.7","1.1","11.2","2.5","11.1","2.0","16.3","3.5","29.4","4.0","16.4","3.2","9.4","2.2","1.7","1.1","1.2","0.9","56751","4018","11.1","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9928","1067","20.3","4.1","18.8","4.3","20.8","5.0","19.2","4.3","3.7","5.3","2.0","1.8","1.4","0.9","0.9","0.5","0.6","0.0","1.0","19414","1796","24848","2066","(X)","(X)","(X)","(X)","28.4","(X)","12.4"
"0500000US23005","Cumberland County, Maine","118269","2198","6.6","1.1","5.1","1.0","8.6","1.1","10.1","1.4","14.7","1.6","18.8","1.8","1.3","13.4","1.3","4.5","0.9","5.2","1.0","55503","2180","75107","2685","23.6","(X)","(X)","(X)","(X)","(X)","71533","2516","2.8","1.3","2.8","1.1","5.7","1.5","8.4","1.6","12.3","1.7","20.0","2.5","15.7","1.8","18.6","2.0","6.3","1.3","7.3","1.4","72870","3064","92052","4162","(X)","(X)","23.4","(X)","(X)","(X)","55179","2397","1.0","0.5","1.2","0.7","4.4","1.6","5.6","1.3","10.7","1.9","19.9","2.6","17.8","2.4","23.0","2.4","7.5","1.7","8.9","1.8","84060","3440","13.0","N","N","(X)","(X)","(X)","(X)","(X)","(X)","46736","2822","13.1","2.3","9.1","1.7","13.8","2.3","13.1","2.4","3.0","16.5","2.6","7.9","1.8","4.9","1.5","1.9","0.8","1.6","0.8","35487","1909","46788","2957","(X)","(X)","(X)","(X)","22.6","(X)","18.0"
